Bets for period:;from 2024-09-30 | 19:00;to 2024-11-11 | 18:59;Number of transactions:;1604;;;;;
;;;;;;;;;
№;Date and time;Account;Game type;Provider;Game;Action;Amount;Customer currency;Transaction type
1567708956627;2024-11-10 | 22:01;1040783017;Live casino;Evolution;1x Roulette;Bet;25.00;PHP;Real money
1567505059441;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504969185;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504911033;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;4.00;PHP;Real money
1567504773601;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504698963;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504615449;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504583435;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;0.80;PHP;Real money
1567504453449;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504379679;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504356089;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;5.20;PHP;Real money
1567504151955;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567504082257;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503935809;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503854677;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503780315;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503697111;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503635563;2024-11-10 | 20:14;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;12.80;PHP;Real money
1567503366081;2024-11-10 | 20:13;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503292037;2024-11-10 | 20:13;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503212179;2024-11-10 | 20:13;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567503168039;2024-11-10 | 20:13;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567503045127;2024-11-10 | 20:13;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
1567502965245;2024-11-10 | 20:13;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;6.00;PHP;Real money
